Price,Date,County,Ozone,PM2.5,Conductance,PH,oil_count,Gas_Well_Number,positive_tests,fire
700000,2015-10,Orange,0.047641026,11.71090909,2340.842813,8.055819032,1,1.712460064,0,0
705000,2015-11,Orange,0.039084034,8.392753623,2340.842813,8.055819032,1,1.712460064,0,0
700000,2015-12,Orange,0.029260504,10.84509804,2340.842813,8.055819032,2,1.712460064,0,0
699900,2016-01,Orange,0.03005,12.49102564,2340.842813,8.055819032,1,1.712460064,0,1
705000,2016-02,Orange,0.04640708,10.2,2340.842813,8.055819032,1,1.712460064,0,0
720200,2016-03,Orange,0.046583333,10.16315789,2340.842813,8.055819032,1,1.712460064,0,0
735000,2016-04,Orange,0.050823009,9.045833333,2340.842813,8.055819032,2,1.712460064,0,0
731750,2016-05,Orange,0.0436,7.915492958,2340.842813,8.055819032,1,1.712460064,0,2
754000,2016-06,Orange,0.049886957,11.82432432,2340.842813,8.055819032,0,1.712460064,0,1
734000,2016-07,Orange,0.049018349,11.37142857,2340.842813,8.055819032,1,1.712460064,0,0
749000,2016-08,Orange,0.049553719,10.74520548,2340.842813,8.055819032,1,1.712460064,0,1
739000,2016-09,Orange,0.048526316,10.73378378,2340.842813,8.055819032,1,1.712460064,0,1
750000,2016-10,Orange,0.040653226,8.888888889,2340.842813,8.055819032,0,1.712460064,0,0
734500,2016-11,Orange,0.040382609,10.86901408,2340.842813,8.055819032,2,1.712460064,0,0
745000,2016-12,Orange,0.030522124,12.9038961,2340.842813,8.055819032,1,1.712460064,0,0
740000,2017-01,Orange,0.035877049,9.33442623,2340.842813,8.055819032,1,1.712460064,0,3
745000,2017-02,Orange,0.03562963,7.972580645,2340.842813,8.055819032,1,1.712460064,0,0
760000,2017-03,Orange,0.049233333,11.1,2340.842813,8.055819032,1,1.712460064,0,1
775000,2017-04,Orange,0.053925,9.085333333,2340.842813,8.055819032,1,1.712460064,0,0
795000,2017-05,Orange,0.05062931,8.857647059,2340.842813,8.055819032,3,1.712460064,0,0
795000,2017-06,Orange,0.04982243,10.71923077,2340.842813,8.055819032,1,1.712460064,0,2
785000,2017-07,Orange,0.046402174,11.86463415,2340.842813,8.055819032,1,1.712460064,0,0
789000,2017-08,Orange,0.051793478,12.59,2340.842813,8.055819032,1,1.712460064,0,0
799000,2017-09,Orange,0.050659091,11.58717949,2340.842813,8.055819032,1,1.712460064,0,1
786000,2017-10,Orange,0.053593407,14.46730769,2340.842813,8.055819032,2,1.712460064,0,1
785000,2017-11,Orange,0.03495,13.86818182,2340.842813,8.055819032,1,1.712460064,0,0
785500,2017-12,Orange,0.030533333,20.33731343,2340.842813,8.055819032,1,1.712460064,0,0
780000,2018-01,Orange,0.030617978,17.83924051,2340.842813,8.055819032,0,1.712460064,0,2
805380,2018-02,Orange,0.04477381,10.10131579,2340.842813,8.055819032,1,1.712460064,0,0
824450,2018-03,Orange,0.040633333,6.868292683,2340.842813,8.055819032,0,1.712460064,0,1
818000,2018-04,Orange,0.052269663,10.96875,2340.842813,8.055819032,3,1.712460064,0,1
838000,2018-05,Orange,0.046274725,7.08902439,2340.842813,8.055819032,0,1.712460064,0,0
835500,2018-06,Orange,0.04922093,10.31625,2340.842813,8.055819032,0,1.712460064,0,1
829000,2018-07,Orange,0.047420455,11.80138889,2340.842813,8.055819032,1,1.712460064,0,0
838500,2018-08,Orange,0.046120879,13.37297297,2340.842813,8.055819032,2,1.712460064,0,1
825000,2018-09,Orange,0.051511111,12.24507042,2340.842813,8.055819032,2,1.712460064,0,0
810000,2018-10,Orange,0.043784946,10.48157895,2340.842813,8.055819032,1,1.712460064,0,0
795000,2018-11,Orange,0.040318182,11.51066667,2340.842813,8.055819032,1,1.712460064,0,2
785000,2018-12,Orange,0.028348315,14.1369863,2340.842813,8.055819032,1,1.712460064,0,0
796500,2019-01,Orange,0.032912088,9.209333333,2340.842813,8.055819032,1,1.712460064,0,1
792500,2019-02,Orange,0.039567901,5.5671875,2340.842813,8.055819032,3,1.712460064,0,0
809500,2019-03,Orange,0.04448913,6.117105263,2340.842813,8.055819032,1,1.712460064,0,2
825000,2019-04,Orange,0.047816092,7.491891892,2340.842813,8.055819032,1,1.712460064,0,1
845000,2019-05,Orange,0.044615385,6.405263158,2340.842813,8.055819032,3,1.712460064,0,0
842000,2019-06,Orange,0.048126437,7.523611111,2340.842813,8.055819032,3,1.712460064,0,1
839450,2019-07,Orange,0.04943956,11.98421053,2340.842813,8.055819032,2,1.712460064,0,0
810000,2019-08,Orange,0.050588889,9.738461538,2340.842813,8.055819032,2,1.712460064,0,2
830000,2019-09,Orange,0.047863636,9.508333333,2340.842813,8.055819032,2,1.712460064,0,0
820000,2019-10,Orange,0.054376344,10.14,2340.842813,8.055819032,2,1.712460064,0,1
822000,2019-11,Orange,0.041477778,13.97123288,2340.842813,8.055819032,5,1.712460064,0,0
840000,2019-12,Orange,0.029,9.435064935,2340.842813,8.055819032,6,1.712460064,0,1
855000,2020-01,Orange,0.033640449,13.84366197,2340.842813,8.055819032,3,1.712460064,0,0
880000,2020-02,Orange,0.042975309,9.850746269,2340.842813,8.055819032,0,1.712460064,58,1
882000,2020-03,Orange,0.040351648,4.926086957,2340.842813,8.055819032,1,1.712460064,997,0
861000,2020-04,Orange,0.046366667,6.734848485,2340.842813,8.055819032,3,1.712460064,2668,2
834550,2020-05,Orange,0.05,9.194285714,2340.842813,8.055819032,2,1.712460064,5484,0
870000,2020-06,Orange,0.045818182,7.619117647,2340.842813,8.055819032,3,1.712460064,17038,0
880000,2020-07,Orange,0.050285714,10.99027778,2340.842813,8.055819032,2,1.712460064,23652,2
930000,2020-08,Orange,0.047717391,10.38888889,2340.842813,8.055819032,2,1.712460064,9683,0
915000,2020-09,Orange,0.058044444,19.69714286,2340.842813,8.055819032,1,1.712460064,6629,3
930000,2020-10,Orange,0.059516129,21.3,2340.842813,8.055819032,5,1.712460064,7888,0
930000,2020-11,Orange,0.039066667,13.78857143,2340.842813,8.055819032,1,1.712460064,26855,0
950000,2020-12,Orange,0.032707865,12.59861111,2340.842813,8.055819032,1,1.712460064,102098,1
971000,2021-01,Orange,0.031923077,11.07123288,2340.842813,8.055819032,3,1.712460064,78234,0
995000,2021-02,Orange,0.0395625,9.517460317,2340.842813,8.055819032,1,1.712460064,17387,1
1025000,2021-03,Orange,0.044901099,6.879166667,2340.842813,8.055819032,5,1.712460064,5705,0
1100000,2021-04,Orange,0.049170455,9.992307692,2340.842813,8.055819032,3,1.712460064,3834,2
1100000,2021-05,Orange,0.046472527,8.798630137,2340.842813,8.055819032,4,1.712460064,1804,0
1138000,2021-06,Orange,0.043788889,7.097101449,2340.842813,8.055819032,2,1.712460064,1795,2
