,County,Date,fire
2485,Santa Clara,2018-06,1
2486,Santa Clara,2018-07,1
2491,Santa Clara,2018-09,1
2492,Santa Clara,2018-10,1
2493,Santa Clara,2019-01,1
2502,Santa Clara,2019-05,1
2503,Santa Clara,2019-06,1
2510,Santa Clara,2019-07,1
2515,Santa Clara,2019-08,1
2517,Santa Clara,2019-09,1
2519,Santa Clara,2019-10,1
2524,Santa Cruz,2017-10,1
2525,Santa Cruz,2018-01,1
2526,Santa Cruz,2018-11,1
2528,Santa Cruz,2019-01,1
2530,Santa Cruz,2019-09,1
2532,Shasta,2013-07,1
2534,Shasta,2013-08,1
2540,Shasta,2013-09,1
2542,Shasta,2013-11,1
2544,Shasta,2014-05,1
2546,Shasta,2014-07,1
2555,Shasta,2014-08,1
2559,Shasta,2014-09,1
2561,Shasta,2014-11,1
2562,Shasta,2015-07,1
2569,Shasta,2015-08,1
2574,Shasta,2015-09,1
2576,Shasta,2016-05,1
2578,Shasta,2016-06,1
2580,Shasta,2016-07,1
2582,Shasta,2016-08,1
2584,Shasta,2016-09,1
2588,Shasta,2017-04,1
2589,Shasta,2017-06,1
2590,Shasta,2017-07,1
2594,Shasta,2017-08,1
2595,Shasta,2017-09,1
2597,Shasta,2017-10,1
2599,Shasta,2018-01,1
2610,Shasta,2018-03,1
2611,Shasta,2018-06,1
2613,Shasta,2018-07,1
2618,Shasta,2018-08,1
2621,Shasta,2018-09,1
2624,Shasta,2018-10,1
2626,Shasta,2019-01,1
2642,Shasta,2019-06,1
2644,Shasta,2019-07,1
2647,Shasta,2019-08,1
2654,Shasta,2019-09,1
2656,Shasta,2019-10,1
2660,Sierra,2017-06,1
2661,Sierra,2017-07,1
2662,Sierra,2018-01,1
2664,Siskiyou,2013-07,1
2667,Siskiyou,2013-08,1
2670,Siskiyou,2014-07,1
2674,Siskiyou,2014-08,1
2681,Siskiyou,2014-09,1
2683,Siskiyou,2014-10,1
2684,Siskiyou,2015-02,1
2685,Siskiyou,2015-03,1
2686,Siskiyou,2015-07,1
2690,Siskiyou,2015-08,1
2692,Siskiyou,2015-10,1
2694,Siskiyou,2016-05,1
2696,Siskiyou,2016-06,1
2697,Siskiyou,2016-07,1
2701,Siskiyou,2016-08,1
2705,Siskiyou,2016-09,1
2707,Siskiyou,2016-11,1
2708,Siskiyou,2017-06,1
2712,Siskiyou,2017-07,1
2717,Siskiyou,2017-08,1
2724,Siskiyou,2018-01,1
2740,Siskiyou,2018-05,1
2742,Siskiyou,2018-06,1
2745,Siskiyou,2018-07,1
2749,Siskiyou,2018-10,1
2750,Siskiyou,2019-01,1
2760,Siskiyou,2019-06,1
2766,Siskiyou,2019-07,1
2768,Siskiyou,2019-09,1
2778,Solano,2013-06,1
2782,Solano,2014-06,1
2784,Solano,2015-07,1
2788,Solano,2016-07,1
2790,Solano,2017-06,1
2791,Solano,2017-09,1
2792,Solano,2017-10,1
2794,Solano,2018-01,1
2797,Solano,2018-02,1
2798,Solano,2018-08,1
2799,Solano,2018-10,1
2801,Solano,2018-11,1
2802,Solano,2019-01,1
2806,Solano,2019-06,1
2808,Solano,2019-07,1
2809,Solano,2019-08,1
2811,Solano,2019-09,1
2812,Solano,2019-10,1
2816,Sonoma,2013-05,1
2818,Sonoma,2013-06,1
2820,Sonoma,2013-07,1
2822,Sonoma,2013-10,1
2824,Sonoma,2013-11,1
2826,Sonoma,2016-09,1
2828,Sonoma,2017-07,1
2829,Sonoma,2017-08,1
2830,Sonoma,2017-10,1
