ArchiveYear,County,Extinguished,Started
2015,Butte,2015-08-03T17:00:00Z,2015-07-29T11:25:00Z
2015,Los Angeles,2015-08-20T08:10:00Z,2015-08-16T13:30:00Z
2015,Amador,2015-07-02T06:36:00Z,2015-07-02T01:58:00Z
2015,Los Angeles,2015-08-16T20:00:00Z,2015-08-16T15:30:00Z
2015,Alameda,2015-06-06T07:15:00Z,2015-06-05T20:22:00Z
2015,Ventura,2015-08-12T08:00:00Z,2015-08-02T13:15:00Z
2015,Merced,2015-05-11T12:15:00Z,2015-05-11T10:26:00Z
2015,Alameda,2015-05-28T10:30:00Z,2015-05-28T17:00:00Z
2015,Mendocino,2015-08-07T21:00:00Z,2015-07-30T14:00:00Z
2015,Santa Clara,2015-09-10T18:50:00Z,2015-09-09T15:58:00Z
2015,Lake,2015-08-27T15:15:00Z,2015-08-22T17:30:00Z
2015,Orange,2015-07-15T18:45:00Z,2015-07-13T10:47:00Z
2015,Shasta,2015-08-01T19:00:00Z,2015-07-29T17:55:00Z
2015,Santa Barbara,2015-06-29T17:05:00Z,2015-06-29T13:11:00Z
2015,Tuolumne,2015-08-04T18:00:00Z,2015-07-29T16:30:00Z
2015,Los Angeles,2015-08-04T08:15:00Z,2015-07-17T21:30:00Z
2015,Siskiyou,2015-03-02T09:00:00Z,2015-02-24T12:15:00Z
2015,Contra Costa,2015-07-30T16:00:00Z,2015-07-30T11:18:00Z
2015,Ventura,2015-08-16T12:00:00Z,2015-08-14T15:22:00Z
2015,Siskiyou,2015-07-14T08:30:00Z,2015-07-13T17:56:00Z
2015,San Diego,2015-06-19T17:45:00Z,2015-06-17T17:03:00Z
2015,Fresno,2015-09-11T19:17:00Z,2015-09-09T14:30:00Z
2015,Tehama,2015-07-04T20:15:00Z,2015-07-04T16:33:00Z
2015,Kern,2015-08-21T18:45:00Z,2015-08-20T15:57:00Z
2015,San Diego,2015-07-26T06:45:00Z,2015-07-24T16:18:00Z
2015,Ventura,2015-06-25T07:00:00Z,2015-06-22T07:00:00Z
2015,Humboldt,2015-08-01T21:45:00Z,2015-07-24T23:00:00Z
2015,Yuba,2015-06-22T11:45:00Z,2015-06-18T13:07:00Z
2015,Solano,2015-07-08T20:45:00Z,2015-07-06T10:47:00Z
2015,Riverside,2015-07-04T13:00:00Z,2015-07-01T20:38:00Z
2015,Humboldt,2015-08-29T07:00:00Z,2015-08-18T18:30:00Z
2015,Plumas,2015-04-18T23:50:00Z,2015-04-13T05:30:00Z
2015,Madera,2015-06-23T18:25:00Z,2015-06-21T12:08:00Z
2015,Trinity,2015-08-29T18:45:00Z,2015-08-25T14:08:00Z
2015,San Joaquin,2015-06-18T21:15:00Z,2015-06-18T14:09:00Z
2015,Modoc,2015-07-26T10:10:00Z,2015-07-23T16:40:00Z
2015,Calaveras,2015-08-18T07:15:00Z,2015-08-13T16:15:00Z
2015,Tuolumne,2015-08-16T19:20:00Z,2015-08-15T16:11:00Z
2015,Lassen,2015-07-03T18:00:00Z,2015-06-30T18:00:00Z
2015,Sacramento,2015-09-03T14:30:00Z,2015-09-03T12:12:00Z
2015,Tehama,2015-08-09T20:30:00Z,2015-08-08T14:55:00Z
2015,Placer,2015-06-08T11:45:00Z,2015-06-08T10:33:00Z
2015,Shasta,2015-09-13T10:15:00Z,2015-09-11T15:08:00Z
